n1_total,y_CO_1,y_H2O_1,n2_total,T1,T_reactor_in,P_R,T_flash,T4,Q1_MW,Q2_MW,T_reactor_out,X_CO,T3,P3,n3_total,y_CO_3,y_H2_3,y_MeOH_3,y_H2O_3,P4,n4_total,x_CO_4,x_H2_4,x_MeOH_4,x_H2O_4,MeOH_recovery,MeOH_purity_stream4
1280.00046,0.41423403,0.0131638084,222.103183,315.28414,508.188899,50.6309897,327.769941,325.769941,2.39791289,-0.00116656816,607.255886,0.0843021026,327.769941,50.6309897,1364.76189,0.355715202,0.634268256,0.00902515188,0.000991390387,50.6309897,47.9444772,0.00113797059,0.000245957622,0.675394924,0.323221148,0.724439415,0.675394924
1338.61178,0.317450467,0.025253703,49.9173649,298.741713,524.906223,57.2243285,305.615368,303.615368,2.5728551,-0.00154561369,616.346258,0.0900492772,305.615368,57.2243285,1243.09342,0.310989224,0.686374042,0.00222439472,0.000412339896,57.2243285,68.9041202,0.00128401187,0.000328649504,0.515218447,0.483168892,0.927738865,0.515218447
1416.82327,0.358380202,0.00457029113,269.232656,295.758421,474.626714,78.6726535,320.121954,318.121954,2.44946881,-0.0018671234,620.923588,0.145133957,320.121954,78.6726535,1466.78682,0.295855906,0.698398169,0.00562749808,0.000118426391,78.6726535,71.882257,0.00153641817,0.000433271294,0.910364886,0.0876654241,0.887990818,0.910364886
1087.14074,0.305514219,0.0089107616,299.30972,314.323553,477.382811,50.8694599,351.288619,334.035545,1.88287662,-0.00575517473,598.401564,0.151573249,351.288619,50.8694599,1259.51205,0.223719317,0.749443431,0.0245637782,0.00227347357,50.8694599,26.2522509,0.0006361329,0.000269081338,0.739163376,0.259931409,0.385449272,0.739163376
1525.44526,0.44987282,0.000428626462,198.33688,311.063375,492.771909,55.7570298,310.579856,301.777074,2.57117822,-0.00589887886,608.037499,0.0866307746,310.579856,55.7570298,1553.32669,0.403472336,0.590961439,0.0055520876,1.41365699e-05,55.7570298,51.5536149,0.00157299545,0.000270000303,0.985900104,0.0122568999,0.854935705,0.985900104
1508.22512,0.36393644,0.0228663939,244.036874,295.824993,535.618265,70.9171125,299.476223,297.476223,3.4364252,-0.00185552551,629.728139,0.0903792547,299.476223,70.9171125,1571.4217,0.317642917,0.680673036,0.00148179973,0.00020224759,70.9171125,81.6222934,0.00169204451,0.000414890409,0.579259234,0.418633831,0.953062302,0.579259234
1139.58336,0.380086162,0.00964265387,240.122098,295.026704,523.518687,68.3965651,351.256349,297.092876,2.56842645,-0.0191399779,625.61723,0.0975319072,351.256349,68.3965651,1266.33257,0.308655741,0.672080712,0.0173398808,0.00192366562,68.3965651,28.882969,0.00118022292,0.000324480609,0.702382821,0.296112475,0.480220662,0.702382821
1115.86936,0.290132047,0.00391632648,356.34872,305.724558,475.443708,62.2542618,342.667813,315.692116,2.0574544,-0.0135484169,606.625198,0.178632507,342.667813,62.2542618,1318.38621,0.201677869,0.780060261,0.0177778792,0.000483991101,62.2542618,38.1675133,0.00073261542,0.000352716535,0.901134614,0.0977800545,0.594721978,0.901134614
1487.76426,0.394056014,0.0320911948,84.3858308,309.504468,481.161219,56.3125371,330.296106,300.943273,2.21507297,-0.031447971,603.444268,0.0987428152,330.296106,56.3125371,1361.98783,0.387848406,0.603779801,0.00686500937,0.00150678321,56.3125371,94.3838472,0.00136081474,0.000257988909,0.514273866,0.484107331,0.838483544,0.514273866
1426.91433,0.37424062,0.00300799728,27.6081304,306.596939,482.810914,54.549351,298.363772,296.363772,2.08868505,-0.00135130408,604.978361,0.0996124029,298.363772,54.549351,1294.34684,0.371409632,0.625657066,0.00288703737,4.62645057e-05,54.549351,53.7877201,0.00153323427,0.000294803441,0.919487235,0.0786847274,0.929750889,0.919487235
1460.27976,0.318559667,0.00270855038,276.034568,297.127645,519.317727,60.3959824,352.979421,280.751674,3.14578308,-0.0117334167,618.289782,0.110743194,352.979421,60.3959824,1620.46712,0.255271499,0.71839565,0.02511316,0.00121969026,60.3959824,12.8147893,0.000854760537,0.000304572412,0.844427412,0.154413256,0.210053486,0.844427412
1503.97786,0.300779958,0.0090485243,22.4634413,311.342928,515.859898,78.967791,336.314029,334.314029,2.55339658,-0.00132830207,630.266554,0.115682016,336.314029,78.967791,1369.31166,0.292090367,0.69800277,0.00919925837,0.000707604099,78.967791,52.4683211,0.00139117705,0.000409273243,0.757295145,0.240904405,0.759287336,0.757295145
1103.06165,0.277094906,0.00713369799,340.639352,295.584731,492.74168,62.5842347,358.947451,339.698669,2.31407704,-0.00501123279,610.256347,0.16643081,358.947451,62.5842347,1321.80853,0.192743214,0.778049522,0.0268933319,0.00231393225,62.5842347,20.1523963,0.000650135861,0.000335434968,0.760316598,0.238697831,0.301202875,0.760316598
898.423613,0.289876819,0.0175022135,174.468008,299.440319,533.96815,60.4429409,336.509091,333.616483,2.06186532,-0.0011364692,620.760624,0.107590827,336.509091,60.4429409,983.707388,0.236232394,0.752951162,0.00916888367,0.00164756028,60.4429409,33.1440058,0.000860302321,0.000337690774,0.573274544,0.425527463,0.678106278,0.573274544
842.312722,0.341766813,0.00601662332,256.137112,291.107842,534.447347,63.2172278,321.412646,310.553936,2.16885924,-0.00377508618,624.331786,0.102914329,321.412646,63.2172278,1011.58372,0.255262042,0.737699184,0.00672969499,0.000309078779,63.2172278,27.6132806,0.0010572029,0.000365905233,0.8263692,0.172207692,0.770216881,0.8263692
1467.10131,0.346519487,0.0129112995,226.377205,290.62171,479.456511,56.1373404,312.765362,298.436412,2.5923509,-0.0130802283,604.885286,0.125327664,312.765362,56.1373404,1490.71643,0.29823124,0.696782589,0.00467009606,0.000316074826,56.1373404,75.33413,0.00115493187,0.000317648019,0.753339661,0.245187759,0.890733725,0.753339661
1086.66684,0.30123624,0.0260181658,233.045158,301.542373,533.014764,61.7434246,318.869314,311.930029,2.51029546,-0.00457143073,621.1473,0.107063307,318.869314,61.7434246,1191.79529,0.245208845,0.750113154,0.00391400928,0.000763991787,61.7434246,57.823766,0.00100676917,0.000367013721,0.525420162,0.473206055,0.86689964,0.525420162
